"","t","logFC"
"208929_x_at",278.001658883515,11.6948416225
"201094_at",277.675675574279,12.201792
"203534_at",277.590116748803,9.0121564865
"212137_at",277.516394980427,9.85470175725
"208825_x_at",277.401549373288,12.95519185
"217746_s_at",277.071178128564,9.39291477175
"200963_x_at",276.700420514608,12.1691880225
"200083_at",276.553772687926,9.2713615895
"200091_s_at",276.522122813564,11.394640685
"201463_s_at",276.289522927766,11.1219477675
"200881_s_at",276.163860857393,9.3800115585
"211073_x_at",275.818543910008,12.444468975
"211995_x_at",275.812451566846,12.9409241675
"212423_at",275.785443511365,9.21374201775
"201166_s_at",275.718788000678,9.704580784
"201078_at",275.519928404585,9.7859597205
"200012_x_at",274.714862170117,12.4952347275
"209404_s_at",274.704237291911,8.9608056545
"214003_x_at",273.688942920293,12.858950615
"201097_s_at",273.317507369305,11.547935245
"201217_x_at",272.378431824568,12.39593053
"211628_x_at",272.049328589892,12.90347719
"208805_at",271.550458838457,10.4121558675
"226282_at",271.498893584875,10.1476910125
"209009_at",271.17212922663,10.19956112
"224472_x_at",271.142356910952,9.26823830575
"201784_s_at",271.081482768286,9.7971823215
"200801_x_at",271.016577793849,12.83629942
"211927_x_at",270.716535047059,12.3517789825
"202678_at",270.21615648745,9.05449533475
"211345_x_at",269.924182897939,12.0172667475
"200026_at",269.881667680394,11.9714560525
"208113_x_at",269.551932806411,11.342769145
"200029_at",268.857803829753,12.3510272475
"201139_s_at",268.583173197647,8.59784674625
"224594_x_at",268.58144350576,12.8664991875
"200627_at",266.706048219267,10.5053391425
"200929_at",266.652761336535,10.03027629825
"201619_at",266.489274418833,9.5235340595
"213545_x_at",265.844171518131,9.46049332625
"226801_s_at",265.459840355706,9.78493475925
"234873_x_at",265.282964631743,11.51355553
"201254_x_at",264.763842649976,11.9351267825
"224880_at",264.701141918372,9.32711577425
"201550_x_at",264.517615796234,12.9420237525
"212586_at",264.508813953273,9.64933109275
"214327_x_at",264.490090435981,12.1567924025
"AFFX-hum_alu_at",264.315352970387,13.6738538725
"201994_at",264.271253890071,11.4635937225
"206580_s_at",264.245997725906,9.9300251
"217927_at",264.211815268735,10.44653964
"201023_at",264.20999773212,9.33227324475
"224625_x_at",263.839290322011,11.85694337
"210616_s_at",263.380931687631,9.93348383925
"213151_s_at",263.378299066879,10.553940535
"221474_at",263.06888916474,11.2421829725
"207941_s_at",263.015419545759,9.367786169
"219485_s_at",262.611523402898,8.9139204025
"212773_s_at",262.576103078016,9.65345215825
"207198_s_at",262.182855721055,8.9603266715
"223014_at",262.148639596023,9.021555662
"200004_at",261.885270800804,11.6459081175
"217740_x_at",261.739078704804,12.76414275
"200686_s_at",261.686127279515,9.80262827875
"203012_x_at",261.430962361555,12.74483442
"202371_at",260.970423045496,9.9108097555
"201745_at",260.37519163962,9.24887442575
"223064_at",259.735982257704,9.4142067435
"200757_s_at",259.59995362468,10.812989235
"201210_at",259.218946423308,10.032244444
"201857_at",259.049909686853,9.48362016675
"201574_at",258.936761354515,9.07502055175
"211939_x_at",258.772616401971,11.2530765525
"224598_at",258.500254708858,9.387114048
"1553570_x_at",258.232146664892,13.0824379925
"200084_at",258.156792485458,9.93364572425
"207121_s_at",257.837401853677,9.390873194
"200998_s_at",257.336337089751,11.2701733125
"218185_s_at",256.993821449395,8.127867699
"225849_s_at",256.810049642927,9.14112520225
"202325_s_at",256.73553201675,9.8403053285
"201172_x_at",256.672726305262,11.2395987525
"201859_at",256.623533311868,11.8405206225
"224892_at",256.601650898623,9.3075482845
"224624_at",256.529654740816,9.41897130025
"212900_at",256.472376355414,8.4054780005
"212149_at",256.300753796219,9.8361485005
"201034_at",256.294981394133,11.26838088
"202347_s_at",256.229746460591,9.15780568125
"214429_at",256.028233599593,8.18272733675
"201946_s_at",256.003232132762,8.61473059675
"200817_x_at",255.964285786259,12.4427115925
"224930_x_at",255.957725853234,12.5206985475
"216215_s_at",255.563346032123,9.108696699
"201999_s_at",255.4579572048,10.5443191525
"200926_at",254.990043529425,12.7839603425
"214658_at",254.828784033159,8.43176198025
"201713_s_at",254.772597040394,8.686052561
"223043_at",254.769425960397,9.7162766455
"212616_at",254.504367110799,8.5267841815
"216903_s_at",254.354145860937,8.3446748255
