"","t","logFC"
"148621",33.7660479935604,4.81023577713333
"4610",33.1996062249513,2.59790078013333
"146102",31.66652861735,1.159671112
"17359",30.6686287134149,4.99247469833333
"168875",30.5288574525471,6.16420367813333
"46737",30.477628064506,7.8912319352
"148141",30.3139121059421,0.2799648992
"148047",30.0190138196066,1.36742650313333
"147819",28.3814513889273,0.616797825066667
"168782",28.3344176809619,2.27265411926667
"17898",28.0946049248796,7.11083369686666
"10975",27.0291302837319,1.4952769906
"17391",27.004612214997,1.34689845206667
"148423",26.7589632544844,0.835551374266667
"169203",26.5156028655037,3.87116289446667
"19583",26.134173050539,2.97992035253333
"42878",26.1297481437479,1.90228746953333
"42662",25.9262481699156,3.5060625034
"168568",25.8345682989943,4.21734091333333
"169111",25.610008173466,7.3654082222
"168995",25.5372204802758,10.9833670808
"148114",25.4301413887824,4.98357587906667
"17489",25.2370776625721,0.585814248066666
"168706",25.0252251171413,0.8283013824
"148385",24.9240235830188,8.05783642486666
"145836",24.6162325542867,0.258561066666667
"168586",24.5363522611907,1.28415207786667
"168793",24.5158357125281,8.87025341546666
"146133",24.5097020699553,2.7233120688
"168954",24.1994318460913,2.19043312913333
"168639",24.1113625333177,2.4133115762
"148143",23.7460647366246,8.83448320986666
"168975",23.6655070774442,0.871405632533333
"148291",23.6309765527815,6.0109904806
"17942",23.5310035491305,5.83542481706666
"168918",23.5171090547126,8.66812025713333
"147952",23.488375819834,5.28172027953333
"148363",23.3254849339366,8.98163295533333
"147809",23.1647736685798,3.68846782606667
"148480",23.1520390262763,6.01192586226666
"42535",22.9941918208237,1.71033087586667
"17388",22.9500334204708,8.98225291913333
"42929",22.4803196682212,0.446217434466667
"146081",22.4788693402428,1.01856551866667
"148510",22.4602352169902,2.06230126513333
"32608",22.4492539172305,1.07723398893333
"169326",22.3311431053958,1.01533968966667
"147536",22.3248737009404,0.613965367533333
"31026",22.1755843591581,2.8488346666
"28302",22.1568990012754,5.552984209
"46518",22.0764829800022,3.07175241653333
"148144",22.0717795541224,3.755590627
"17552",22.0455743710161,0.930474713266667
"168563",22.0426243844577,1.72599532393333
"145769",22.0409070389788,2.13516367013333
"145722",22.0292706650371,0.571352889
"148460",21.9897560690665,1.11557634093333
"147584",21.8587828978293,1.40316883126667
"147934",21.5269502714136,0.5252050304
"146051",21.4659983910987,0.562383630533333
"17546",21.3645330405211,1.90626333473333
"17488",21.3587926716305,5.45755086873333
"148444",21.3498331096137,13.0365072175333
"146159",21.3493454907196,2.84132828453333
"145820",21.3365429636623,6.63688743526667
"168695",21.3056624302449,1.8669084244
"148337",21.2856266659549,4.5457062038
"148678",21.2323875047697,1.98718762973333
"11175",21.1749461820488,1.77313851893333
"168572",21.1733263380468,1.0385978876
"17668",21.0958319266216,2.92150888546667
"148531",21.0943917691779,2.0173890534
"147972",21.0090539030706,6.6880424348
"32731",20.9738074490375,1.9737045602
"42586",20.9362393911766,8.105091808
"147806",20.9042496545714,19.2587640946667
"145917",20.7856582524325,0.203757503266667
"42479",20.7533097690271,1.75204502713333
"145884",20.7091185582231,0.185953951933333
"148670",20.6848462881887,15.1335612179333
"42953",20.6336768545055,1.860288644
"148624",20.523480396552,3.8317969364
"148668",20.3570878683647,2.8898286156
"148243",20.3462550570093,7.7154368152
"169199",20.3157175513238,5.32983161626666
"25126",20.2666663440513,0.3216491652
"168805",20.2194925785044,1.6958954838
"42569",20.2160097217803,0.805569286866667
"168986",20.1791736071034,2.44379040273333
"17810",20.1661836346538,4.6593266366
"148593",19.984289710571,0.691409155266667
"168685",19.9598027489157,0.285122550733333
"147695",19.8976152948751,1.8081412502
"46633",19.8380082411703,3.11446213093333
"146034",19.7990243634294,3.28343474066667
"169272",19.7742765337123,2.51485961913333
"17567",19.7387476231633,4.98091903206667
"145638",19.7283182358504,3.45214829846667
"14270",19.6749268060872,1.45919679206667
"145944",19.624119964368,0.2069733062
"42862",19.6049338156543,0.943501005733333
"168756",19.580345203275,2.07322689326667
"169365",19.5779012927553,2.71691633493333
"146180",19.5681864843513,0.956947521333333
"17306",19.5669960134485,6.01673424713333
"146199",19.5388290221768,1.53938260913333
"168571",19.5352492853446,0.400691059
"146041",19.5200713194899,2.32051996546667
"169056",19.5006411707949,2.5618805308
"46483",19.47751992255,0.145877596533333
"168837",19.4306464598857,3.3078490622
"148558",19.4087153495092,9.72293549226666
"148050",19.3944490307322,1.98852933833333
"148172",19.3189487251982,3.67891117073333
"168903",19.3048096770895,0.6600718198
"169389",19.3026432760926,0.840911764
"17358",19.2341331203993,8.67028044873333
"168790",19.2247400895419,4.18144092213333
"169126",19.1910024058066,0.602131701866666
"169035",19.1903835834525,3.33589834426667
"42895",19.150399217687,4.50361552993333
"148442",19.1501442905901,4.7636533606
"30592",19.1327761081115,0.499213337
"148398",19.1303041795815,1.64533153826667
"46227",19.1246187862364,0.9618407694
"11151",19.0705947584266,1.6504704126
"17349",19.0575862704684,5.57593224713333
"146004",19.0387947664446,13.9492394969333
"9938",18.908553037865,2.00481723566667
"147660",18.8960074555923,1.1926555028
"145852",18.8857727903412,3.70941185713333
"168559",18.8848535966657,0.482654632066666
"148507",18.7544752131825,2.10454291186667
"148326",18.7225129247502,1.59442200653333
"42880",18.7066141004362,7.81833324106666
"148365",18.6612933375259,2.99023330206667
"169277",18.6518696391989,3.1678380722
"148057",18.6499909209898,2.00149796593333
"28009",18.6330182409373,0.208024858533333
"17863",18.6301171940199,2.133013546
"42942",18.6161300298699,1.1643906948
"169206",18.5866346623024,1.77161708406667
"147705",18.4892002978921,0.323796292066667
"169008",18.4790552810763,3.90316889273333
"46453",18.4448156299454,9.5644923812
"148017",18.4419815930192,1.16116729213333
"42531",18.406266389892,0.2546469988
"169125",18.3379219858227,0.0647707436
"147588",18.3254182130986,4.06696031453333
"169242",18.3144033707141,1.04363668026667
"148422",18.3048019562613,1.12138502853333
"28568",18.2993483485814,0.1562599056
"46789",18.2345585344683,0.765562108466667
"46810",18.2046280912994,5.01779690486667
"168953",18.1370384865196,3.69481505033333
"42588",18.1049341628602,0.382044527266667
"148690",18.1024638256751,10.796778514
"145989",18.0806138597392,0.525547624666667
"148333",18.07463715533,3.3313202688
"42960",18.048853825106,0.231022156466667
"27574",18.0359767251805,2.5186004202
"46416",18.0114420112774,5.5035760566
"147203",17.9972795498014,4.80994419806667
"168704",17.9675076871952,4.12859118186667
"42504",17.920198676483,2.98414392406667
"147693",17.9167091015796,1.16632745126667
"147186",17.8966339003521,2.24166823433333
"148020",17.8545634588002,0.856717382333333
"42614",17.8424353879464,1.90504304553333
"42581",17.8383470235016,1.76951016133333
"168985",17.8383341126543,3.84116719673333
"168881",17.8194837489059,0.0622224506666667
"42533",17.7815616989384,2.40576545553333
"42670",17.7655118828408,0.202395787333333
"148052",17.7134306607894,0.722188321533333
"11104",17.702277545133,2.4250003938
"148083",17.6835554018894,0.3410674262
"17422",17.6754822010842,4.81971015286666
"31867",17.6706675088644,0.340037463666667
"147632",17.6508767272994,5.95324488506667
"11142",17.6010613638701,0.153827529466667
"168640",17.588187925423,1.88874421066667
"17352",17.5755210716482,0.412764919733333
"148419",17.5618917303082,2.9078317188
"17825",17.5270499269837,0.911476564733333
"13140",17.5195347265624,1.63860738733333
"17955",17.5037225281437,1.5011999636
"148570",17.4858114917389,4.01631492406667
"168981",17.4450148031358,4.5207314506
"17596",17.4266002167923,1.51564333966667
"148042",17.4262239575286,4.3347378448
"146055",17.3760871607229,1.9952333512
"17592",17.3707508144539,1.63432195106667
"146050",17.3657866763882,20.1933421073333
"17377",17.3265183358495,0.1204931692
"46777",17.3087852383365,0.178011745866667
"42809",17.2975313049406,2.25485498253333
"148576",17.2798917725609,0.402324786066667
"168672",17.2573830340137,2.42314539106667
"146178",17.2164998443264,0.0585422551333333
"169405",17.1476372910607,2.20862519366667
"146147",17.1424620315113,7.684252261
"168806",17.1396817102032,0.0483406258666667
"13183",17.1279066899899,0.138069313066667
"148409",17.0671033516766,19.3404458533333
"168713",17.0329765515602,5.46159038513333
"168750",16.9975617819912,1.70058736613333
"146059",16.9932965958211,2.2594562598
"19582",16.9733441597417,0.6413500632
"169331",16.9317686801431,2.89487872546667
"169335",16.8757443285992,1.10995024866667
"169090",16.8486221694406,1.37955258553333
"147614",16.8393294531671,6.3724462034
"27740",16.8132306854503,11.6192160224667
"146169",16.7853884601967,6.66410439133333
"147869",16.755661653157,2.1217062346
"147820",16.7527811262946,1.0197714348
"148152",16.6884619624696,0.0709586854
"145647",16.6576831355193,3.0055278204
"169006",16.6193081838345,1.16842706366667
"148636",16.5636525824641,17.9146296973333
"168928",16.5559032443499,3.3779244084
"42664",16.5554246835712,0.555729823
"42449",16.5534657365568,2.51426050233333
"148393",16.5064118542635,1.5154448748
"148681",16.4449055289457,0.790662075666666
"145676",16.4438603565721,1.1569187152
"147554",16.4062099093548,3.49435708713333
"42462",16.3969616517169,3.71515682233333
"148198",16.3945693080746,1.0018806834
"42519",16.390584222522,0.176958142666667
"14285",16.3525737472251,0.688367295533333
"168794",16.344172422722,0.6989182928
"168736",16.3269320177442,1.93344551566667
"11165",16.3106658507198,0.331105952
"148207",16.2474806631412,2.96977629093333
"147932",16.2427685281911,1.22949904333333
