"","t","logFC","P.Value"
"212869_x_at",405.000703931882,13.340684655,1.93633405391075e-11
"207783_x_at",397.838494708595,12.8467438225,2.09822442833846e-11
"216442_x_at",395.084351328509,13.4394898425,2.16485498820531e-11
"210495_x_at",387.32329358882,13.46403885,2.36702653347714e-11
"201429_s_at",386.390511572916,13.3623650075,2.39285026493788e-11
"210646_x_at",385.927570654639,12.832446575,2.40579444177685e-11
"224372_at",382.420642229481,13.300797225,2.50668223613847e-11
"213414_s_at",377.124674550566,12.526453015,2.66903273428236e-11
"200059_s_at",375.804424005194,12.259081125,2.71148931542504e-11
"211943_x_at",374.213716423961,13.1764864925,2.76374524583205e-11
"200741_s_at",367.825144844195,12.7853434075,2.98642346802272e-11
"211719_x_at",362.971979236931,13.34956074,3.17036762432198e-11
"214351_x_at",362.964574843627,11.65022993,3.17065868020586e-11
"208695_s_at",362.932468996332,13.035063505,3.17192109203178e-11
"212790_x_at",360.98291381315,12.717063665,3.2497428495371e-11
"213583_x_at",359.493652148219,13.18435526,3.31076713006564e-11
"200092_s_at",359.24000998117,12.384569645,3.32129954033357e-11
"200094_s_at",352.620013227067,12.016623975,3.61126180123726e-11
"201049_s_at",349.612478953926,13.098397255,3.75318181495051e-11
"212464_s_at",349.120019387266,13.4925959125,3.7770650130912e-11
"212191_x_at",348.957003698143,11.6982669825,3.78501180766571e-11
"202649_x_at",348.849696416268,12.144064905,3.79025404712119e-11
"200869_at",347.832473759785,12.0438525675,3.84039142325868e-11
"212082_s_at",342.647310487249,12.2453830225,4.10893154382433e-11
"211983_x_at",342.21427117333,12.96317005,4.13238162167557e-11
"200633_at",341.869803984995,12.40056777,4.15115220439039e-11
"222229_x_at",340.978947521851,11.2540650375,4.20018184485403e-11
"200025_s_at",339.693590387905,12.560964585,4.27217716811274e-11
"200933_x_at",339.679277087179,12.901978255,4.27298733830355e-11
"216438_s_at",339.036275363657,12.52888322,4.30957739902946e-11
"213214_x_at",337.805393995125,12.895607235,4.38069505167879e-11
"204892_x_at",334.554766681397,13.5493135425,4.57552181230886e-11
"211487_x_at",334.327454685857,12.5343446725,4.58953805046673e-11
"211956_s_at",333.793490174365,12.6965878025,4.62266969543376e-11
"212284_x_at",333.110958365641,13.21811962,4.66544643640905e-11
"216520_s_at",331.221486571688,13.0205709925,4.78641522806384e-11
"208724_s_at",330.819918171882,11.622794625,4.81261661378593e-11
"226131_s_at",330.690693146436,12.8916275525,4.82108550139015e-11
"211970_x_at",330.242786190455,12.8479492675,4.85058084814113e-11
"224585_x_at",330.231902021841,12.975701095,4.85130032766168e-11
"200716_x_at",329.592869443386,12.66798377,4.89377208328706e-11
"214687_x_at",329.372242408065,12.1031942375,4.90854097469475e-11
"217773_s_at",329.236751087505,11.23772907,4.9176378382611e-11
"200031_s_at",328.188672130014,12.3821122675,4.98870633003204e-11
"201033_x_at",327.323951824292,12.6288466475,5.04828854214439e-11
"200062_s_at",327.034384735695,12.3757438675,5.06843487521698e-11
"201257_x_at",326.019419172687,12.82177377,5.13983033809497e-11
"208904_s_at",325.302820948536,12.654043435,5.19097893966886e-11
"200017_at",324.978957064645,11.9609453675,5.21429938662727e-11
"204102_s_at",323.929020771495,12.6663908975,5.2907876945884e-11
"200966_x_at",322.44359189767,12.0809822075,5.40135884642187e-11
"213347_x_at",322.33967663815,12.586191655,5.40919921112146e-11
"221607_x_at",321.665844230847,13.00401139,5.46037853496244e-11
"211720_x_at",320.005530406748,12.699552535,5.58903169563065e-11
"212734_x_at",319.790119500733,12.03379035,5.60599355950856e-11
"212988_x_at",318.110369819646,12.901310205,5.74044146787593e-11
"213614_x_at",317.744190300288,13.18570757,5.77027191633474e-11
"1553569_at",317.365602934977,13.0396134825,5.80131260272991e-11
"211972_x_at",317.3435350891,12.4963684075,5.80312825030718e-11
"200674_s_at",316.311604293063,12.7930822375,5.88881208680692e-11
"210427_x_at",316.005899710992,12.957826375,5.9144918909681e-11
"211942_x_at",314.335886769117,11.9212272175,6.05721761892864e-11
"201665_x_at",313.141924769973,12.45025444,6.16184411155547e-11
"213860_x_at",312.936760853241,10.20017028,6.18004426582469e-11
"210648_x_at",312.87659526012,10.993929865,6.18539402880117e-11
"200662_s_at",312.523629162356,10.25032878,6.21689308266198e-11
"202760_s_at",311.123418645583,9.93409085275,6.34379713219509e-11
"221700_s_at",310.407277908619,11.549546005,6.40992591390143e-11
"224573_at",309.440580002354,10.959748745,6.50053294991229e-11
"208856_x_at",308.181501289483,12.6382825375,6.62090373711803e-11
"232032_x_at",307.295845552012,10.2528531575,6.70720891597862e-11
"206559_x_at",307.057713302853,13.2047767625,6.73064853171559e-11
"200823_x_at",306.481867253216,11.30948758,6.7877447604815e-11
"200689_x_at",305.754154639332,11.9919233325,6.86074809605089e-11
"200018_at",305.185468922327,12.489601375,6.91846684812461e-11
"201590_x_at",304.951416237031,12.939922095,6.94239432744185e-11
"200007_at",304.18376779156,11.44399047,7.02158503098194e-11
"213503_x_at",303.184695922164,12.8515651225,7.12630979986599e-11
"211296_x_at",302.203277625661,13.232437135,7.23104872212075e-11
"201029_s_at",301.122257190077,11.7298789025,7.34860364313648e-11
"200717_x_at",300.74070420715,12.8403506275,7.39065228583348e-11
"202673_at",300.469019550791,9.646774292,7.42077233288174e-11
"213102_at",300.090918597021,10.6855678575,7.46294021711915e-11
"212578_x_at",299.769067693954,12.369048595,7.49906573184178e-11
"201492_s_at",299.502407420077,13.41839528,7.52915848876062e-11
