"","t","logFC","P.Value","status","type"
"1",459.383016376675,13.2964869928571,6.87838380741153e-19,0,"myeloma"
"2",432.565404409581,12.2510181142857,1.11008252712963e-18,0,"myeloma"
"3",430.481383569306,12.6820812242857,1.15357240154993e-18,0,"myeloma"
"4",428.223444762064,12.9825839985714,1.20286995385953e-18,0,"myeloma"
"5",420.499955094565,12.9196383628571,1.3903256840153e-18,0,"myeloma"
"6",419.297951524081,12.8794275028571,1.42235851609477e-18,0,"myeloma"
"7",413.908949150185,12.8135886871429,1.57656601329405e-18,0,"myeloma"
"8",409.42051255598,12.5384631842857,1.71945700096079e-18,0,"myeloma"
"9",408.882691025851,12.7104984014286,1.7375362130151e-18,0,"myeloma"
"10",392.115304130186,12.8416829785714,2.42457130561139e-18,0,"myeloma"
"11",391.850769541683,13.3969988128571,2.43762628066014e-18,0,"myeloma"
"12",385.43205388663,13.0160168257143,2.77998814887327e-18,0,"myeloma"
"13",381.321496258809,12.4810628914286,3.02758125193485e-18,0,"myeloma"
"14",380.738032091377,12.91988836,3.06469696646446e-18,0,"myeloma"
"15",379.815211928375,12.9554029214286,3.12445041912219e-18,0,"myeloma"
"16",379.210183220707,12.9875426971429,3.16433810640329e-18,0,"myeloma"
"17",377.576781795053,12.6615584242857,3.27491659855164e-18,0,"myeloma"
"18",372.708907225248,13.0480687271429,3.63113853393344e-18,0,"myeloma"
"19",372.549052985697,12.9839079742857,3.64355474036221e-18,0,"myeloma"
"20",370.27632392436,13.1571190685714,3.82535336090675e-18,0,"myeloma"
"21",369.670864221358,13.3082186842857,3.87549213190284e-18,0,"myeloma"
"22",368.691475067244,12.85052572,3.95817041282076e-18,0,"myeloma"
"23",368.682343391349,13.1127123142857,3.95895057823284e-18,0,"myeloma"
"24",367.936299817814,12.8658865514286,4.02327752783507e-18,0,"myeloma"
"25",367.237906569111,12.8483240957143,4.08456382338426e-18,0,"myeloma"
"26",366.325119633046,13.7047158642857,4.16625429936697e-18,0,"myeloma"
"27",365.258205813019,12.8963760657143,4.26407873718864e-18,0,"myeloma"
"28",364.524384769951,12.7456917071429,4.33286277578806e-18,0,"myeloma"
"29",363.712550988556,11.6690684728571,4.41041847417585e-18,0,"myeloma"
"30",362.048991573982,12.8674917242857,4.57427207641331e-18,0,"myeloma"
"31",361.251490141633,12.5034209671429,4.65524436906754e-18,0,"myeloma"
"32",360.217459723172,13.3180415285714,4.76264487695705e-18,0,"myeloma"
"33",356.040904042432,12.2570457457143,5.22576495355569e-18,0,"myeloma"
"34",355.324227140402,13.1235239828571,5.31022512605979e-18,0,"myeloma"
"35",355.279757039427,12.7864163271429,5.31551633080718e-18,0,"myeloma"
"36",354.576548138868,12.96007497,5.39998043887371e-18,0,"myeloma"
"37",352.577383107684,12.52097334,5.64847612165362e-18,0,"myeloma"
"38",352.160589849598,13.49473013,5.7018900103277e-18,0,"myeloma"
"39",351.94164638417,12.7485359714286,5.73017620636305e-18,0,"myeloma"
"40",351.584907824042,12.9534800385714,5.77660372050871e-18,0,"myeloma"
"41",351.381188145105,12.51501424,5.80330655616511e-18,0,"myeloma"
"42",343.99920292709,13.1620833542857,6.87144888669665e-18,0,"myeloma"
"43",342.478385990519,13.1407482971429,7.11803066596637e-18,0,"myeloma"
"44",341.121882701271,11.4912193857143,7.34639976600204e-18,0,"myeloma"
"45",340.890068780907,12.5545992157143,7.38624533049247e-18,0,"myeloma"
"46",340.650211035973,9.74726813171428,7.42772979106257e-18,0,"myeloma"
"47",338.957015646921,10.5060473857143,7.72814836930122e-18,0,"myeloma"
"48",335.837518255454,12.9879350657143,8.31814180592845e-18,0,"myeloma"
"49",335.446186570182,13.1917952128571,8.39567064456053e-18,0,"myeloma"
"50",335.08291885683,9.39258548171428,8.46836822594388e-18,0,"myeloma"
"51",334.984993910022,12.7762131014286,8.48808614987481e-18,0,"myeloma"
"52",334.066428105494,9.61532851628571,8.67558372334766e-18,0,"myeloma"
"53",333.976425448828,9.39130851214285,8.6942044664429e-18,0,"myeloma"
"54",330.206143189556,12.9673046385714,9.51619462814559e-18,0,"myeloma"
"55",330.100793128608,12.1429462428571,9.54038734796423e-18,0,"myeloma"
"56",329.884294201229,12.9878931042857,9.59032207606285e-18,0,"myeloma"
"57",329.585657747611,13.0488210385714,9.65968505973177e-18,0,"myeloma"
"58",329.573676788273,10.5791666842857,9.66247958377079e-18,0,"myeloma"
"59",329.044767430323,13.0515034542857,9.78675778572056e-18,0,"myeloma"
"60",328.48249306004,12.6641475128571,9.92085280443076e-18,0,"myeloma"
"61",327.98934928964,13.4602892757143,1.00401652361179e-17,0,"myeloma"
"62",327.472703722265,10.7038063328571,1.01668992939812e-17,0,"myeloma"
"63",327.134671852907,12.9842101485714,1.0250793409167e-17,0,"myeloma"
"64",327.024727378924,12.7487040928571,1.02782476017041e-17,0,"myeloma"
"65",326.89712099554,12.0462211871429,1.03102159776372e-17,0,"myeloma"
"66",326.590273310235,12.0416853771429,1.03875476601262e-17,0,"myeloma"
"67",325.904634617142,12.7368917457143,1.05627129125843e-17,0,"myeloma"
"68",325.75824259632,12.1852621342857,1.06005420691325e-17,0,"myeloma"
"69",325.721280307429,12.9435104628571,1.06101175907704e-17,0,"myeloma"
"70",325.184673989809,12.6600972585714,1.07502343119302e-17,0,"myeloma"
"71",323.732641709438,10.0135897217143,1.11399438331623e-17,0,"myeloma"
"72",323.30130845301,10.9247921542857,1.12587542298943e-17,0,"myeloma"
"73",322.748987171171,12.8661022185714,1.14129786995693e-17,0,"myeloma"
