"","t","logFC","status","type"
"1",489.155762633654,0.990622854633139,0,"leukemia"
"2",488.93368910371,0.987411214929432,0,"leukemia"
"3",483.779952071764,0.993653372905842,0,"leukemia"
"4",483.083607612508,0.984533622178401,0,"leukemia"
"5",481.975742787552,0.986213543999467,0,"leukemia"
"6",478.611540052511,0.994549334353623,0,"leukemia"
"7",477.20096745366,0.986200310251061,0,"leukemia"
"8",477.046025897669,0.9862181918522,0,"leukemia"
"9",475.503147880746,0.980710272821256,0,"leukemia"
"10",475.328165330952,0.986249286924382,0,"leukemia"
"11",475.266296857696,0.989431572402872,0,"leukemia"
"12",475.047265032739,0.987423517580774,0,"leukemia"
"13",472.254894349548,0.989011296475333,0,"leukemia"
"14",471.972482952438,0.987170871524213,0,"leukemia"
"15",471.563139239879,0.991490235844346,0,"leukemia"
"16",471.395928842589,0.98760544995824,0,"leukemia"
"17",470.926259657148,0.991430856556223,0,"leukemia"
"18",470.426600398413,0.975534090400197,0,"leukemia"
"19",469.412985221362,0.98893333423499,0,"leukemia"
"20",468.947361955639,0.98992046314811,0,"leukemia"
"21",468.777194957931,0.981543033941122,0,"leukemia"
"22",468.574965105071,0.986228819936366,0,"leukemia"
"23",468.185619545497,0.98554584174258,0,"leukemia"
"24",467.890499279171,0.99261110167523,0,"leukemia"
"25",467.037060362758,0.969945028345318,0,"leukemia"
"26",466.706941634301,0.988579130239167,0,"leukemia"
"27",466.503597580588,0.982715985922992,0,"leukemia"
"28",466.315337858171,0.991144813606014,0,"leukemia"
"29",466.131434060599,0.983044516831885,0,"leukemia"
"30",466.11673002369,0.98661717543075,0,"leukemia"
"31",466.010085826754,0.982067026770453,0,"leukemia"
"32",466.000516535409,0.981319143271222,0,"leukemia"
"33",465.864169223841,0.985096118990336,0,"leukemia"
"34",465.419764981244,0.986862226854526,0,"leukemia"
"35",465.164084209675,0.985151663902722,0,"leukemia"
"36",464.934892757564,0.987041473060113,0,"leukemia"
"37",464.795608906622,0.987298075084368,0,"leukemia"
"38",464.342088040393,0.984801412876797,0,"leukemia"
"39",463.731813143682,0.981093489902974,0,"leukemia"
"40",463.163846528536,0.987093537697325,0,"leukemia"
"41",462.94491982784,0.986554268296832,0,"leukemia"
"42",462.919340270541,0.984212676321334,0,"leukemia"
"43",462.538549350383,0.979716560899491,0,"leukemia"
"44",462.363990973836,0.98480673503672,0,"leukemia"
"45",462.350547784458,0.989260393293422,0,"leukemia"
"46",461.810430001375,0.983930566182895,0,"leukemia"
"47",461.696283239516,0.982237903252744,0,"leukemia"
"48",461.028036920566,0.978407534373542,0,"leukemia"
"49",460.76449972233,0.975845344377324,0,"leukemia"
"50",460.561566551873,0.9902436354829,0,"leukemia"
"51",460.36613980231,0.990688111176702,0,"leukemia"
"52",460.308360274937,0.986707203573417,0,"leukemia"
"53",460.266108079074,0.981959234414605,0,"leukemia"
"54",460.059424629535,0.989094534757183,0,"leukemia"
"55",459.693632543081,0.990862474265004,0,"leukemia"
"56",459.31725624813,0.984465348944251,0,"leukemia"
"57",459.042945296254,0.974215208522665,0,"leukemia"
"58",458.936557691472,0.986718585651536,0,"leukemia"
"59",458.834320421907,0.98814349167395,0,"leukemia"
"60",458.739834301805,0.990213421396364,0,"leukemia"
"61",458.621787733565,0.98788157626393,0,"leukemia"
"62",458.368153091381,0.97766992430715,0,"leukemia"
"63",458.332721855309,0.981478557824931,0,"leukemia"
"64",457.999169353776,0.982199245163793,0,"leukemia"
"65",457.993059622999,0.984623524161556,0,"leukemia"
"66",457.977872484996,0.983102969551047,0,"leukemia"
"67",457.894798225154,0.982967123390294,0,"leukemia"
"68",457.818186003714,0.983457191069727,0,"leukemia"
"69",457.791090485761,0.976353122129811,0,"leukemia"
"70",457.710402268917,0.988904140587122,0,"leukemia"
